date,close,down,downSize,recovery,redMark,,val
22-Jun-12,2315.65,1,41.75,709,1,,2464.38
25-Jun-12,2278.98,1,39.5,710,1,,2464.38
26-Jun-12,2289.86,1,40.17,711,1,,2464.38
27-Jun-12,2310.98,1,41.46,712,1,,2464.38
28-Jun-12,2306.22,1,41.17,713,1,,2464.38
29-Jun-12,2363.79,1,44.7,714,1,,2464.38
2-Jul-12,2369.75,1,45.06,715,1,,2464.38
3-Jul-12,2385.06,1,46,716,1,,2464.38
5-Jul-12,2373.91,1,45.32,717,1,,2464.38
6-Jul-12,2352.34,1,43.99,718,1,,2464.38
9-Jul-12,2348.52,1,43.76,719,1,,2464.38
10-Jul-12,2329.46,1,42.59,720,1,,2464.38
11-Jul-12,2329.71,1,42.61,721,1,,2464.38
12-Jul-12,2318.09,1,41.9,722,1,,2464.38
13-Jul-12,2356.4,1,44.24,723,1,,2464.38
16-Jul-12,2350.94,1,43.91,724,1,,2464.38
17-Jul-12,2368.36,1,44.98,725,1,,2464.38
18-Jul-12,2384.54,1,45.97,726,1,,2464.38
19-Jul-12,2391.27,1,46.38,727,1,,2464.38
20-Jul-12,2367.26,1,44.91,728,1,,2464.38
23-Jul-12,2346.22,1,43.62,729,1,,2464.38
24-Jul-12,2325.02,1,42.32,730,1,,2464.38
25-Jul-12,2324.33,1,42.28,731,1,,2464.38
26-Jul-12,2362.85,1,44.64,732,1,,2464.38
27-Jul-12,2408.07,1,47.41,733,1,,2464.38
30-Jul-12,2406.99,1,47.34,734,1,,2464.38
31-Jul-12,2396.62,1,46.71,735,1,,2464.38
1-Aug-12,2389.73,1,46.28,736,1,,2464.38
2-Aug-12,2372.31,1,45.22,737,1,,2464.38
3-Aug-12,2417.77,1,48,738,1,,2464.38
6-Aug-12,2423.46,1,48.35,739,1,,2464.38
7-Aug-12,2435.88,1,49.11,740,1,,2464.38
8-Aug-12,2438.16,1,49.25,741,1,,2464.38
9-Aug-12,2440.23,1,49.37,742,1,,2464.38
10-Aug-12,2445.64,1,49.71,743,1,,2464.38
13-Aug-12,2443.05,1,49.55,744,1,,2464.38
14-Aug-12,2443.16,1,49.55,745,1,,2464.38
15-Aug-12,2446.82,1,49.78,746,1,,2464.38
16-Aug-12,2464.38,1,50.85,747,1,,2464.38
17-Aug-12,2469,0,51.14,748,0,,0
20-Aug-12,2468.99,0,51.14,749,0,,0
21-Aug-12,2460.41,0,50.61,750,0,,0
22-Aug-12,2461.12,0,50.65,751,0,,0
23-Aug-12,2441.29,0,49.44,752,0,,0
24-Aug-12,2457.4,0,50.43,753,0,,0
27-Aug-12,2456.22,0,50.35,754,0,,0
28-Aug-12,2454.39,0,50.24,755,0,,0
29-Aug-12,2457.05,0,50.4,756,0,,0
30-Aug-12,2438.2,0,49.25,757,0,,0
31-Aug-12,2450.6,0,50.01,758,0,,0
4-Sep-12,2447.8,0,49.84,759,0,,0
5-Sep-12,2445.81,0,49.72,760,0,,0
6-Sep-12,2496.12,0,52.8,761,0,,0
